id,college_id,program_name,duration,college_name
1,161,MSc Physics,2 Years,Amrit Science Campus
2,161,MSc Physics,2 Years,Amrit Science Campus
3,161,MSc Physics,2 Years,Amrit Science Campus
4,161,MSc Physics,,Amrit Science Campus
5,161,BSc Environmental Science,4 Years,Amrit Science Campus
6,161,BSc Environmental Science,4 Years,Amrit Science Campus
7,161,BSc Environmental Science,,Amrit Science Campus
8,161,BSc Microbiology,4 Years,Amrit Science Campus
9,161,BSc Microbiology,4 Years,Amrit Science Campus
10,161,BSc Microbiology,,Amrit Science Campus
11,161,BSc Physics,4 Years,Amrit Science Campus
12,161,BSc Physics,4 Years,Amrit Science Campus
13,161,BSc Physics,,Amrit Science Campus
14,161,MSc Applied Mathematics,2 Years,Amrit Science Campus
15,161,MSc Applied Mathematics,2 Years,Amrit Science Campus
16,161,MSc Applied Mathematics,,Amrit Science Campus
17,161,MSc Botany,2 Years,Amrit Science Campus
18,161,MSc Botany,2 Years,Amrit Science Campus
19,161,MSc Botany,,Amrit Science Campus
20,161,MSc Chemistry,2 Years,Amrit Science Campus
21,161,MSc Chemistry,2 Years,Amrit Science Campus
22,161,MSc Chemistry,,Amrit Science Campus
23,161,BSc Botany,4 Years,Amrit Science Campus
24,161,BSc Botany,4 Years,Amrit Science Campus
25,161,BSc Botany,,Amrit Science Campus
26,161,BSc Chemistry,4 Years,Amrit Science Campus
27,161,BSc Chemistry,4 Years,Amrit Science Campus
28,161,BSc Chemistry,,Amrit Science Campus
29,161,BSc Mathematics,4 Years,Amrit Science Campus
30,161,BSc Mathematics,4 Years,Amrit Science Campus
31,161,BSc Mathematics,,Amrit Science Campus
32,161,BSc Statistics,4 Years,Amrit Science Campus
33,161,BSc Statistics,4 Years,Amrit Science Campus
34,161,BSc Statistics,,Amrit Science Campus
35,161,BSc Zoology,4 Years,Amrit Science Campus
36,161,BSc Zoology,4 Years,Amrit Science Campus
37,161,BSc Zoology,,Amrit Science Campus
38,161,MSc Zoology,2 Years,Amrit Science Campus
39,161,MSc Zoology,2 Years,Amrit Science Campus
40,161,MSc Zoology,,Amrit Science Campus
41,161,Master of Information Technology,2 Years,Amrit Science Campus
42,161,Master of Information Technology,2 Years,Amrit Science Campus
43,161,Master of Information Technology,,Amrit Science Campus
44,161,Bachelor of Information Technology,4 Years,Amrit Science Campus
45,161,Bachelor of Information Technology,4 Years,Amrit Science Campus
46,161,Bachelor of Information Technology,,Amrit Science Campus
47,161,BSc Computer Science and Information Technology,4 Years,Amrit Science Campus
48,161,BSc Computer Science and Information Technology,4 Years,Amrit Science Campus
49,161,BSc Computer Science and Information Technology,,Amrit Science Campus
50,163,BSc Computer Science and Information Technology,4 Years,Deerwalk Institute of Technology
51,163,BSc Computer Science and Information Technology,4 Years,Deerwalk Institute of Technology
52,163,BSc Computer Science and Information Technology,4 Years,Deerwalk Institute of Technology
53,163,BSc Computer Science and Information Technology,,Deerwalk Institute of Technology
54,163,Bachelor of Computer Application,4 Years,Deerwalk Institute of Technology
55,163,Bachelor of Computer Application,4 Years,Deerwalk Institute of Technology
56,163,Bachelor of Computer Application,,Deerwalk Institute of Technology
57,164,Master of Business Studies,2 Years,St Lawrence College
58,164,Master of Business Studies,2 Years,St Lawrence College
59,164,Master of Business Studies,2 Years,St Lawrence College
60,164,Master of Business Studies,,St Lawrence College
61,164,Bachelor of Arts in Social Work,4 Years,St Lawrence College
