id,college_id,program_name,duration,college_name
1,161,MSc Physics,2 Years,Amrit Science Campus
5,161,BSc Environmental Science,4 Years,Amrit Science Campus
8,161,BSc Microbiology,4 Years,Amrit Science Campus
11,161,BSc Physics,4 Years,Amrit Science Campus
14,161,MSc Applied Mathematics,2 Years,Amrit Science Campus
17,161,MSc Botany,2 Years,Amrit Science Campus
20,161,MSc Chemistry,2 Years,Amrit Science Campus
23,161,BSc Botany,4 Years,Amrit Science Campus
26,161,BSc Chemistry,4 Years,Amrit Science Campus
29,161,BSc Mathematics,4 Years,Amrit Science Campus
32,161,BSc Statistics,4 Years,Amrit Science Campus
35,161,BSc Zoology,4 Years,Amrit Science Campus
38,161,MSc Zoology,2 Years,Amrit Science Campus
41,161,Master of Information Technology,2 Years,Amrit Science Campus
44,161,Bachelor of Information Technology,4 Years,Amrit Science Campus
47,161,BSc Computer Science and Information Technology,4 Years,Amrit Science Campus
50,163,BSc Computer Science and Information Technology,4 Years,Deerwalk Institute of Technology
54,163,Bachelor of Computer Application,4 Years,Deerwalk Institute of Technology
57,164,Master of Business Studies,2 Years,St Lawrence College
61,164,Bachelor of Arts in Social Work,4 Years,St Lawrence College
64,164,Bachelor of Business Studies,4 Years,St Lawrence College
67,164,Bachelor of Computer Application,4 Years,St Lawrence College
70,164,BSc Computer Science and Information Technology,4 Years,St Lawrence College
73,166,Ten Plus Two Science,2 Years,Pentagon International College
77,166,Ten Plus Two Management,2 Years,Pentagon International College
80,166,Ten Plus Two Humanities,2 Years,Pentagon International College
83,166,Bachelor of Arts,4 Years,Pentagon International College
86,166,Bachelor of Arts in Social Work,4 Years,Pentagon International College
89,166,Bachelor of Business Studies,4 Years,Pentagon International College
92,168,Ten Plus Two Science,2 Years,College of Business Management
96,168,Ten Plus Two Management,2 Years,College of Business Management
99,168,Bachelor of Business Management,4 Years,College of Business Management
102,168,Bachelor of Business Studies,4 Years,College of Business Management
105,168,Master of Business Studies,2 Years,College of Business Management
108,168,CAP-I,6 Months,College of Business Management
111,168,CAP-II,9 Months,College of Business Management
114,168,CAP-III,3 Years,College of Business Management
117,169,Ten Plus Two Science,2 Years,Manaslu World College
121,169,Ten Plus Two Management,2 Years,Manaslu World College
124,169,Ten Plus Two Humanities,2 Years,Manaslu World College
127,169,Ten Plus Two Law,2 Years,Manaslu World College
130,169,Bachelor of Business Studies,4 Years,Manaslu World College
133,170,Ten Plus Two Science,2 Years,Herald International College
137,170,Ten Plus Two Management,2 Years,Herald International College
140,170,Ten Plus Two Humanities,2 Years,Herald International College
143,170,Ten Plus Two Law,2 Years,Herald International College
146,170,Bachelor of Business Studies,4 Years,Herald International College
149,170,Bachelor of Arts in Social Work,4 Years,Herald International College
152,171,CAP-I,6 Months,Premier College
156,171,CAP-II,9 Months,Premier College
159,171,CAP-III,3 Years,Premier College
162,171,Ten Plus Two Science,2 Years,Premier College
165,171,Ten Plus Two Management,2 Years,Premier College
168,171,Ten Plus Two Humanities,2 Years,Premier College
171,171,Bachelor of Business Management,4 Years,Premier College
174,171,Bachelor of Arts in Social Work,4 Years,Premier College
177,171,Bachelor of Business Studies,4 Years,Premier College
180,171,Master of Business Studies,2 Years,Premier College
183,174,BSc (Hons) Computer Science,957000.00,Stamford College Kathmandu
187,176,Master of Business Administration,465850.00,School of Management - Tribhuvan University
191,176,MBA in Global Leadership and Management,563900.00,School of Management - Tribhuvan University
194,176,MBA in Information Technology,556600.00,School of Management - Tribhuvan University
197,176,MBA Finance and Control,465850.00,School of Management - Tribhuvan University
200,177,ACCA,3 Years,The British College
204,177,GCE A Level Science,2 Years,The British College
207,177,GCE A Level Non-Science,2 Years,The British College
210,177,BSc (Hons) Computing,4 Years,The British College
213,177,BSc (Hons) Data Science,4 Years,The British College
216,177,BSc (Hons) Cyber Security and Digital Forensics,4 Years,The British College
219,177,BSc (Hons) Computer Science - Artificial Intelligence,4 Years,The British College
222,177,BSc (Hons) Hospitality Business Management,4 Years,The British College
225,177,MSc Advanced Computer Science,2 Years,The British College
228,177,MSc Information and Technology,2 Years,The British College
231,177,MBA Executive,2 Years,The British College
234,177,MBA Graduate,2 Years,The British College
237,178,MBA - Evening Shift,2 Years,Apex College
241,178,Master of Business Administration,2 Years,Apex College
244,178,BBA Travel and Tourism,4 Years,Apex College
247,178,Bachelor of Computer System Information Technology,4 Years,Apex College
250,178,BBA  Finance,4 Years,Apex College
253,178,Bachelor of Business Administration,4 Years,Apex College
256,183,MBBS,5.5 Years,Nepalese Army Institute of Health Sciences
260,183,MS Clinical Otorhinolaryngology and Head and Neck Surgery,3 Years,Nepalese Army Institute of Health Sciences
263,183,MD Paediatrics,3 Years,Nepalese Army Institute of Health Sciences
266,183,MD Pathology,3 Years,Nepalese Army Institute of Health Sciences
269,183,MD Dermatology,3 Years,Nepalese Army Institute of Health Sciences
272,183,MD Internal Medicine,3 Years,Nepalese Army Institute of Health Sciences
275,183,MS Orthopaedic and Trauma Surgery,3 Years,Nepalese Army Institute of Health Sciences
278,183,MD General Practice,3 Years,Nepalese Army Institute of Health Sciences
281,183,MS Clinical Anatomy,3 Years,Nepalese Army Institute of Health Sciences
284,183,MD Obstetrics and Gynaecology,3 Years,Nepalese Army Institute of Health Sciences
287,183,MD Ophthalmology,3 Years,Nepalese Army Institute of Health Sciences
290,183,MD Psychiatry,3 Years,Nepalese Army Institute of Health Sciences
293,183,MD Radio Diagnosis,3 Years,Nepalese Army Institute of Health Sciences
296,183,MD Clinical Pharmacology,3 Years,Nepalese Army Institute of Health Sciences
299,183,MD Clinical Physiology,3 Years,Nepalese Army Institute of Health Sciences
302,183,MD Microbiology,3 Years,Nepalese Army Institute of Health Sciences
305,183,MS General Surgery,3 Years,Nepalese Army Institute of Health Sciences
308,183,Bachelor of Public Health,4 Years,Nepalese Army Institute of Health Sciences
311,183,Bachelor of Science in Medical Laboratory Technology,4 Years,Nepalese Army Institute of Health Sciences
314,187,Master of Dental Surgery,3 Years,Maharajgunj Medical Campus
318,187,MD Radio Diagnosis,3 Years,Maharajgunj Medical Campus
321,187,MS Clinical Otorhinolaryngology and Head and Neck Surgery,3 Years,Maharajgunj Medical Campus
324,187,MD Ophthalmology,3 Years,Maharajgunj Medical Campus
327,187,MD Obstetrics and Gynaecology,3 Years,Maharajgunj Medical Campus
330,187,MD Internal Medicine,3 Years,Maharajgunj Medical Campus
333,187,MD Biochemistry,3 Years,Maharajgunj Medical Campus
336,187,MS Orthopaedic and Trauma Surgery,3 Years,Maharajgunj Medical Campus
339,187,MS General Surgery,3 Years,Maharajgunj Medical Campus
342,187,MD Psychiatry,3 Years,Maharajgunj Medical Campus
345,187,MD Pathology,3 Years,Maharajgunj Medical Campus
348,187,MD Microbiology,3 Years,Maharajgunj Medical Campus
351,187,MD Paediatrics,3 Years,Maharajgunj Medical Campus
354,187,MD Forensic Medicine,3 Years,Maharajgunj Medical Campus
357,187,MD Dermatology,3 Years,Maharajgunj Medical Campus
360,187,MSc Medical Imaging Technology,2 Years,Maharajgunj Medical Campus
363,187,MSc Clinical Biochemistry,3 Years,Maharajgunj Medical Campus
366,187,MSc Clinical Microbiology,3 Years,Maharajgunj Medical Campus
369,187,MDS Orthodontics,3 Years,Maharajgunj Medical Campus
372,187,MS Clinical Anatomy,3 Years,Maharajgunj Medical Campus
375,188,Bachelor of Computer Application,4 Years,Arunima College
379,188,Bachelor of Business Studies,4 Years,Arunima College
382,192,Master of Arts in Social Work,2 Years,Kadambari Memorial College
386,192,Bachelor of Arts in Social Work,4 Years,Kadambari Memorial College
389,196,Ten Plus Two Science,2 Years,Jubilant College
393,196,Ten Plus Two Management,2 Years,Jubilant College
396,196,Ten Plus Two Humanities,2 Years,Jubilant College
399,196,Ten Plus Two Law,2 Years,Jubilant College
402,196,Bachelor of Business Studies,4 Years,Jubilant College
405,197,Bachelor of Business Administration,4 Years,Ace International Business School
409,197,Global MBA,2 Years,Ace International Business School
412,199,Master of Business Administration,2 Years,SANN International College
416,199,Bachelor of Arts in Bachelor of Laws,5 Years,SANN International College
419,199,Bachelor of Business Administration,4 Years,SANN International College
422,199,BSc Biotechnology,4 Years,SANN International College
425,199,Ten Plus Two Management,2 Years,SANN International College
428,199,Ten Plus Two Science,2 Years,SANN International College
431,199,Ten Plus Two Humanities,2 Years,SANN International College
434,199,Ten Plus Two Law,2 Years,SANN International College
440,200,ACCA,3 Years,Seed Financial Academy
444,201,Bachelor of Public Health,4 Years,Little Buddha College of Health Science
448,201,Bachelor of Pharmacy,4 Years,Little Buddha College of Health Science
451,204,Ten Plus Two Management,2 Years,Global College of Management
455,204,Bachelor of Business Studies,4 Years,Global College of Management
458,204,Master of Business Studies,2 Years,Global College of Management
461,206,Ten Plus Two Science,2 Years,Capital College and Research Center
465,206,Ten Plus Two Management,2 Years,Capital College and Research Center
468,206,Ten Plus Two Law,2 Years,Capital College and Research Center
471,209,Ten Plus Two Science,2 Years,Himalaya College
475,209,Ten Plus Two Management,2 Years,Himalaya College
478,209,Ten Plus Two Humanities,2 Years,Himalaya College
481,209,Ten Plus Two Law,2 Years,Himalaya College
484,209,Ten Plus Two Education,2 Years,Himalaya College
487,209,Master of Business Studies,2 Years,Himalaya College
490,209,Bachelor of Arts in Social Work,4 Years,Himalaya College
493,209,Bachelor of Arts,4 Years,Himalaya College
496,209,BSc Computer Science and Information Technology,4 Years,Himalaya College
499,209,Bachelor of Business Administration,4 Years,Himalaya College
502,209,Bachelor of Business Studies,4 Years,Himalaya College
505,209,Master of Business Administration,2 Years,Himalaya College
508,210,Master of Business Studies,2 Years,Nepal Kasthamandap College
512,210,Bachelor of Computer Application,4 Years,Nepal Kasthamandap College
515,210,Bachelor of Business Studies,4 Years,Nepal Kasthamandap College
518,210,Bachelor of Business Administration,4 Years,Nepal Kasthamandap College
521,210,Ten Plus Two Education,2 Years,Nepal Kasthamandap College
